vintage,year,ads_k,net_rev_k,cov_amt_k,printed_coverage,recomputed_coverage,coverage_on_net_revenues_alone,cov_amt_pct_of_ads,below_125_without_account,revenue_shortfall_to_125_k
2021 OS (base case),2025,64596,76132,16149,1.43,1.4286,1.1786,0.25,True,4613.0
2021 OS (base case),2026,64237,79506,16059,1.49,1.4877,1.2377,0.25,True,790.0
2021 OS (base case),2027,63861,80038,15965,1.5,1.5033,1.2533,0.25,False,-212.0
2021 OS (base case),2028,63485,79998,15871,1.51,1.5101,1.2601,0.25,False,-642.0
2023 OS,2025,61442,88372,15361,1.69,1.6883,1.4383,0.25,False,-11570.0
2023 OS,2026,77057,93530,16332,1.43,1.4257,1.2138,0.2119,True,2791.0
2023 OS,2027,76685,93142,19171,1.46,1.4646,1.2146,0.25,True,2714.0
2023 OS,2028,76304,93585,19076,1.48,1.4765,1.2265,0.25,True,1795.0
2025 OS (base case),2025,58980,79417,14745,1.6,1.5965,1.3465,0.25,False,-5692.0
2025 OS (base case),2026,84670,94616,21168,1.37,1.3675,1.1175,0.25,True,11222.0
2025 OS (base case),2027,91112,102774,21168,1.36,1.3603,1.128,0.2323,True,11116.0
2025 OS (base case),2028,90827,101815,22707,1.37,1.371,1.121,0.25,True,11719.0
2025 OS (base case),2029,90556,107144,22639,1.43,1.4332,1.1832,0.25,True,6051.0
2025 OS (base case),2030,90264,107243,22566,1.44,1.4381,1.1881,0.25,True,5587.0
2025 OS (stress test),2025,60911,80837,15228,1.58,1.5771,1.3271,0.25,False,-4698.0
2025 OS (stress test),2026,86449,95839,21612,1.36,1.3586,1.1086,0.25,True,12222.0
2025 OS (stress test),2027,92917,104021,21612,1.35,1.3521,1.1195,0.2326,True,12125.0
2025 OS (stress test),2028,92659,103071,23165,1.36,1.3624,1.1124,0.25,True,12753.0
2025 OS (stress test),2029,92415,108417,23104,1.42,1.4232,1.1732,0.25,True,7102.0
2025 OS (stress test),2030,92151,108532,23038,1.43,1.4278,1.1778,0.25,True,6657.0
