year,cpe_audited,rate_base_costs,enplanements,debt_service_in_rate_base,source_id,source_page,tier,basis,note
2024,7.34,36444805,4964361,0,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,"No debt service enters the rate base. Interest on the 2021 bonds was capitalized through Feb. 1, 2025 and on the 2023 bonds through Apr. 1, 2025."
2023,11.50,52870264,4598890,0,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,"No debt service enters the rate base. Interest on the 2021 bonds was capitalized through Feb. 1, 2025 and on the 2023 bonds through Apr. 1, 2025."
2022,10.58,42890270,4053690,0,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,"No debt service enters the rate base. Interest on the 2021 bonds was capitalized through Feb. 1, 2025 and on the 2023 bonds through Apr. 1, 2025."
2021,12.33,39050630,3168029,0,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,"No debt service enters the rate base. Interest on the 2021 bonds was capitalized through Feb. 1, 2025 and on the 2023 bonds through Apr. 1, 2025."
2020,20.50,37217368,1815361,,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,
2019,9.77,47691608,4881951,,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,
2018,10.30,49793061,4834085,,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,
2017,12.76,57361966,4495180,,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,
2016,12.86,53392720,4151628,,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,
2015,12.89,52243108,4053880,,acfr-2024,"Table IV, Rates and Cost Per Enplaned Passenger",A,acaa_audited,
