series,year,cpe,kind,source
Reported actual,2014,13.91,actual,"Same, ACAA statistical section reproduced at printed p.53, T"
Reported actual,2015,12.89,actual,"Same, ACAA statistical section reproduced at printed p.53, T"
Reported actual,2016,12.86,actual,"Same, ACAA statistical section reproduced at printed p.53, T"
Reported actual,2017,12.76,actual,"Same, ACAA statistical section reproduced at printed p.53, T"
Reported actual,2018,10.3,actual,"Same, ACAA statistical section reproduced at printed p.53, T"
Reported actual,2019,9.77,actual,"Same, ACAA statistical section reproduced at printed p.53, T"
Reported actual,2020,20.57,actual,"Same, printed p.51, 'Airline Costs Per Enplaned Passenger 20"
Reported actual,2021,12.35,actual,"Same, printed p.51, 'Airline Costs Per Enplaned Passenger 20"
Reported actual,2022,10.57,actual,"Same, printed p.51, 'Airline Costs Per Enplaned Passenger 20"
Reported actual,2023,11.34,actual,"Same, printed p.51, 'Airline Costs Per Enplaned Passenger 20"
Reported actual,2024,11.56,actual,"Same, printed p.51, 'Airline Costs Per Enplaned Passenger 20"
2021 OS (base case),2021,12.76,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2021A/"
2021 OS (base case),2022,9.78,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2021A/"
2021 OS (base case),2023,9.73,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2021A/"
2021 OS (base case),2024,9.83,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2021A/"
2021 OS (base case),2025,12.92,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2021A/"
2021 OS (base case),2026,13.47,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2021A/"
2021 OS (base case),2027,13.41,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2021A/"
2021 OS (base case),2028,13.36,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2021A/"
2023 OS,2023,11.11,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2023A/"
2023 OS,2024,11.52,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2023A/"
2023 OS,2025,16.46,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2023A/"
2023 OS,2026,16.9,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2023A/"
2023 OS,2027,16.32,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2023A/"
2023 OS,2028,16.01,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2023A/"
2025 OS (base case),2025,15.71,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2025A/"
2025 OS (base case),2026,19.13,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2025A/"
2025 OS (base case),2027,19.44,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2025A/"
2025 OS (base case),2028,19.06,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2025A/"
2025 OS (base case),2029,20.25,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2025A/"
2025 OS (base case),2030,20.53,forecast,"Official Statement, ACAA Airport Revenue Bonds Series 2025A/"
2025 OS (stress test),2025,19.47,forecast,"Same, Exhibit H, 'Summary of Results of Base Case and Stress"
2025 OS (stress test),2026,23.29,forecast,"Same, Exhibit H, 'Summary of Results of Base Case and Stress"
2025 OS (stress test),2027,23.64,forecast,"Same, Exhibit H, 'Summary of Results of Base Case and Stress"
2025 OS (stress test),2028,23.23,forecast,"Same, Exhibit H, 'Summary of Results of Base Case and Stress"
2025 OS (stress test),2029,24.54,forecast,"Same, Exhibit H, 'Summary of Results of Base Case and Stress"
2025 OS (stress test),2030,24.86,forecast,"Same, Exhibit H, 'Summary of Results of Base Case and Stress"
2025 outturn carried forward,2026,20.34,derived,"test6, elasticity from Exhibit H"
2025 outturn carried forward,2027,20.67,derived,"test6, elasticity from Exhibit H"
2025 outturn carried forward,2028,20.27,derived,"test6, elasticity from Exhibit H"
2025 outturn carried forward,2029,21.53,derived,"test6, elasticity from Exhibit H"
2025 outturn carried forward,2030,21.83,derived,"test6, elasticity from Exhibit H"
