year,series,amount,source_id,source_page,tier,note
2016,"in the airline rate base, audited",65698295,acfr-2024,Table IV,A,
2017,"in the airline rate base, audited",66040592,acfr-2024,Table IV,A,
2018,"in the airline rate base, audited",58580713,acfr-2024,Table IV,A,
2019,"in the airline rate base, audited",24812266,acfr-2024,Table IV,A,
2020,"in the airline rate base, audited",21190890,acfr-2024,Table IV,A,
2021,"in the airline rate base, audited",0,acfr-2024,Table IV,A,Zero: interest on the 2021 and 2023 bonds was capitalized through early 2025.
2022,"in the airline rate base, audited",0,acfr-2024,Table IV,A,Zero: interest on the 2021 and 2023 bonds was capitalized through early 2025.
2023,"in the airline rate base, audited",0,acfr-2024,Table IV,A,Zero: interest on the 2021 and 2023 bonds was capitalized through early 2025.
2024,"in the airline rate base, audited",0,acfr-2024,Table IV,A,Zero: interest on the 2021 and 2023 bonds was capitalized through early 2025.
2025,"aggregate annual debt service, forecast",58980000,os-2025ab,PDF 202 (printed B-16),A,
2026,"aggregate annual debt service, forecast",84670000,os-2025ab,PDF 202 (printed B-16),A,
2027,"aggregate annual debt service, forecast",91112000,os-2025ab,PDF 202 (printed B-16),A,
2028,"aggregate annual debt service, forecast",90827000,os-2025ab,PDF 202 (printed B-16),A,
2029,"aggregate annual debt service, forecast",90556000,os-2025ab,PDF 202 (printed B-16),A,
2030,"aggregate annual debt service, forecast",90264000,os-2025ab,PDF 202 (printed B-16),A,
