id,tier,kind,year,title,proves,cites,key_pages,serves,vault,sha256,url
acfr-2024,A,issuer,2024,"ACAA annual comprehensive financial report, 2024","Table IV carries a ten-year audited cost per enplaned passenger. Every row reproduces from rate base costs divided by enplanements. Debt service in the rate base reads zero for 2021 through 2024. The audited charge for 2024 is $7.34, its lowest in a decade.","Table IV, Rates and Cost Per Enplaned Passenger","68|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,89eee05fa77406e0016e38c6b2022050a9809fd18b25ffadd4b9359ca6443c59,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/Allegheny_County_Airport_Authority-2024_ACFR.pdf
acfr-2025,A,issuer,2025,"ACAA annual comprehensive financial report, 2025",The first year debt service enters the airline rate base after four years of capitalized interest. Tests what supports Net Revenues rising from the $35.8m posted in 2023 to the $94.6m forecast for 2026. Captured and not yet read against Table IV.,Table IV,"72|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F2,yes,9932b0119590384abb170f3f88b53a8cdbc4bdf1ece207f7765647418273e0e8,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/Allegheny-County-Airport-Authority-2025-ACFR.pdf
acfr-2023,A,issuer,2023,"ACAA annual comprehensive financial report, 2023",The audited charge of $11.50 against zero debt service in the rate base.,Table IV,"70|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,1ccb595f1f02ca0e607bad945351fb5d4b1f6b070d51ec8000acc919b3ab0d8d,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/ACAA_-_Audited_ACFR_-_12-31-2023.pdf
acfr-2022,A,issuer,2022,"ACAA annual comprehensive financial report, 2022",The audited charge of $10.58 against zero debt service in the rate base.,Table IV,"75|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,e4e7ee8f43c6742957ae04f80fed292244bc740e2f3f50151efb7393721d2951,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/ACAA_-_Audited_ACFR_-_12-31-2022.pdf
acfr-2021,A,issuer,2021,"ACAA annual comprehensive financial report, 2021","The audited charge of $12.33 against zero debt service in the rate base. Prints $12.33 where the 2025 bond statement prints $12.35 at PDF 62. Both are the Authority's. Disclosed, not resolved.",Table IV,"62|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,a86edabb0e004abd603716bdec64209bf1eecb699d0b0ed8164fd11898d421a0,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/ACAA_-_Audited_ACFR_-_12-31-2021.pdf
acfr-2020,A,issuer,2020,"ACAA annual comprehensive financial report, 2020","The pandemic year: the charge at $20.50 on 1,815,361 boardings, and the last year debt service appears in the rate base before it goes to zero.",Table IV,"56|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,99477050a2d24d4e50784fe77fc4057a6b0f73d951f47300bc461e2ea33402dc,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/ACAA_ACFR_12-31-2020.pdf
acfr-2019,A,issuer,2019,"ACAA annual comprehensive financial report, 2019","The last full pre-pandemic year, and the bottom of the subsidised era at $9.77.",Table IV,"66|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,4438575eed275f757eeff0750c34a396c948294a9a0170bd862c4a20907a6ca7,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/ACAA_ACFR_12-31-2019.pdf
cafr-2018,A,issuer,2018,"ACAA comprehensive annual financial report, 2018","$58.6m of debt service inside the rate base, against zero in 2021 through 2024.",Table IV,"80|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,52f54105acbfe5f7e55bba55ddb6b891d7a0b9e4f5d5487d9d090c23defc4e72,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/ACAA_2018_CAFR_FINAL-1.pdf
cafr-2017,A,issuer,2017,"ACAA comprehensive annual financial report, 2017","The year the board approved the terminal, with $66.0m of debt service in the rate base and the charge at $12.76.",Table IV,"75|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,70926dd045ffcf10bdeea8636471ee3cc27efae66309c9a9f3841a86a46b40f0,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/ACAA-2017-CAFR.pdf
cafr-2016,A,issuer,2016,"ACAA comprehensive annual financial report, 2016","$65.7m of debt service in the rate base, the charge at $12.86.",Table IV,"75|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,c2b27098f96d781e531548519f7add361d3f6a92953edc69cbe37e85e9bcaf95,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/2016-Allegheny-County-Airport-Authoriity-CAFR.pdf
