node_id,label,kind,priority_order,discretion,cap_rule,source_id,pdf_page,anchor,note
revenues,Revenues,pool,,mandatory,,os-2025ab,31,"First: to the Operation and Maintenance Fund","What the airport takes in."
opr,Other Pledged Revenues,inflow,,authority_annual,,os-2025ab,30,"moneys, not constituting Revenues, that are designated","Money that is not Revenues, designated into the pledge for a period at the Authority's choice. Lever one."
net_revenues,Net Revenues,pool,,mandatory,,os-2025ab,31,"First: to the Operation and Maintenance Fund","Revenues less operation and maintenance, plus any Other Pledged Revenues designated."
p1,Operation and Maintenance Fund,priority,1,mandatory,,os-2025ab,31,"First: to the Operation and Maintenance Fund",
p2,Debt Service Funds,priority,2,mandatory,,os-2025ab,31,"Second: to the Debt Service Funds",
p3,Debt Service Reserve Fund,priority,3,mandatory,,os-2025ab,31,"Third: to the Debt Service Reserve Fund",
p4,Subordinate Obligation Debt Service Funds,priority,4,mandatory,,os-2025ab,31,"Fourth: to the Subordinate Obligation Debt Service Funds",
p5,Subordinate Obligation Debt Service Reserve Funds,priority,5,mandatory,,os-2025ab,31,"Fifth: to the Subordinate Obligation Debt Service Reserve Funds",
p6,Operation and Maintenance Reserve Account,priority,6,mandatory,,os-2025ab,32,"Sixth: to the Operation and Maintenance Reserve Account",
p7,Renewal and Replacement Fund,priority,7,mandatory,,os-2025ab,32,"Seventh: to the Renewal and Replacement Fund",
p8,Equipment and Capital Outlay Fund,priority,8,authority_monthly,,os-2025ab,32,"Eighth: to the Equipment and Capital Outlay Fund",
p9,Coverage Account,priority,9,authority_monthly,<= 25% of Annual Debt Service,os-2025ab,32,"Ninth: to the Coverage Account. On or prior to the tenth (10th) Business Day of each month, at the discretion of","Lever two. Funded monthly at the Authority's discretion and capped at 25 percent of annual debt service."
p10,Rate Stabilization Fund,priority,10,authority_monthly,,os-2025ab,32,"Tenth: to the Rate Stabilization Fund",
p11,Airport System Capital Fund,priority,11,authority_monthly,,os-2025ab,32,"the Authority, may from time to time, at its discretion, deposit all or a portion of",
test,The 1.25 test,terminal,,mandatory,,os-2025ab,34,"125% of Annual Debt Service on the Outstanding Bonds for such Fiscal Y","Net Revenues together with the Coverage Account, against 1.25 times aggregate annual debt service."
