line_item,category,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
PFC Application,passenger facility charge,0,0,0,0,0,0,0,0,0,0,0,0
CARES/CRRSA/ARPA (PIT),federal pandemic aid,0,10496,18183,11947,0,0,0,0,0,0,0,0
CARES (BHS Credit),federal pandemic aid,0,0,905,0,0,0,0,0,0,0,0,0
CRRSA/ARPA Concession Grants,federal pandemic aid,0,0,0,1010,4040,0,0,0,0,0,0,0
CARES/CRRSA/ARPA (AGC),federal pandemic aid,0,157,57,148,0,0,0,0,0,0,0,0
CARES (County),federal pandemic aid,0,2000,0,0,0,0,0,0,0,0,0,0
FEMA Grant,federal disaster aid,0,439,0,0,0,0,0,0,0,0,0,0
Discretionary (Gas) Revenues,gas royalty,3815,0,0,0,0,0,0,0,0,0,0,0
Supplemental Gaming Revenues for BHS,slot-machine tax,0,0,0,0,0,0,630,3082,3214,3156,3390,3477
Discretionary (Gaming) Revenues,slot-machine tax,1730,0,0,0,0,0,8170,8493,8361,8419,8186,8098
TOTAL Other Pledged Revenues,printed total,5545,13092,19146,13105,4040,0,8800,11575,11575,11575,11575,11575
