year,designated_k,source_id,source_page,tier,conflict,note
2019,5545,os-2025ab,PDF 316 (Exhibit E),A,,"Discretionary gas $3,815k and discretionary gaming $1,730k. The only year in the table in which either discretionary source is designated into the pledge."
2020,13092,os-2025ab,PDF 316 (Exhibit E),A,,"Federal pandemic aid in full: CARES/CRRSA/ARPA (PIT) $10,496k, CARES (County) $2,000k, FEMA $439k, CARES/CRRSA/ARPA (AGC) $157k. Discretionary gas and gaming both zero."
2021,19146,os-2025ab,PDF 316 (Exhibit E),A,,"The peak year, and federal pandemic aid in full: CARES/CRRSA/ARPA (PIT) $18,183k, CARES (BHS Credit) $905k, CARES/CRRSA/ARPA (AGC) $57k. Itemisation sums to $19,145k against a printed total of $19,146k, a rounding difference in the Authority's own table. Discretionary gas and gaming both zero."
2022,13105,os-2025ab,PDF 316 (Exhibit E),A,,"Federal pandemic aid in full: CARES/CRRSA/ARPA (PIT) $11,947k, CRRSA/ARPA concession grants $1,010k, CARES/CRRSA/ARPA (AGC) $148k. Discretionary gas and gaming both zero."
2023,4040,os-2025ab,PDF 316 (Exhibit E),A,"Same statement prints $3,029k at PDF 61 (printed 51). Both figures recorded; neither is chosen.","CRRSA/ARPA concession grants in full. Discretionary gas and gaming both zero."
2023,3029,os-2025ab,PDF 61 (printed 51),A,"Same statement prints $4,040k at PDF 316 (Exhibit E). Both figures recorded; neither is chosen.","The management-discussion figure for the same line and the same year."
2024,0,os-2025ab,PDF 316 (Exhibit E),A,,"Nothing designated. No federal aid, no discretionary gas, no discretionary gaming."
2025,8800,os-2025ab,PDF 316 (Exhibit E),A,,"Forecast. Discretionary gaming $8,170k resumes and supplemental gaming for the baggage handling system contributes $630k. Discretionary gas remains zero."
2026,11575,os-2025ab,PDF 316 (Exhibit E),A,,"Forecast. Discretionary gaming $8,493k plus supplemental gaming for BHS $3,082k. Discretionary gas zero."
2027,11575,os-2025ab,PDF 316 (Exhibit E),A,,"Forecast. Discretionary gaming $8,361k plus supplemental gaming for BHS $3,214k. Discretionary gas zero."
2028,11575,os-2025ab,PDF 316 (Exhibit E),A,,"Forecast. Discretionary gaming $8,419k plus supplemental gaming for BHS $3,156k. Discretionary gas zero."
2029,11575,os-2025ab,PDF 316 (Exhibit E),A,,"Forecast. Itemisation sums to $11,576k against a printed total of $11,575k, a rounding difference in the Authority's own table. Discretionary gaming $8,186k plus supplemental gaming for BHS $3,390k. Discretionary gas zero."
2030,11575,os-2025ab,PDF 316 (Exhibit E),A,,"Forecast. Discretionary gaming $8,098k plus supplemental gaming for BHS $3,477k. Discretionary gas zero."
