side,item,k_usd,share
sources,Bond proceeds and premium,1873255,0.8442
sources,PFC pay-as-you-go,76907,0.0347
sources,CFC pay-as-you-go,62827,0.0283
sources,ACAA discretionary revenues,61341,0.0276
sources,BIL ATP and AIG grants,82586,0.0372
sources,AIP / PennDOT and state grants,11068,0.005
sources,Federal stimulus,20412,0.0092
sources,Bond interest earnings and other grants,30573,0.0138
uses,Project costs,1928819,0.8692
uses,Capitalized interest,168164,0.0758
uses,Bond reserve accounts,111224,0.0501
uses,Issuance costs,9438,0.0043
uses,Line of credit interest,1323,0.0006
