clip_id,published,date_source,title,speaker,statement,paragraph,url,wayback,sha256,tier
trib-airport-could-land-22m-in-federal-money,2002-02-13T00:00:00+00:00,discovery,Airport could land $22M in federal money,"JoAnn Jenny, spokeswoman","Pittsburgh would see an increase in its entitlement funds, beginning on Oct. 1, 2002,","Pittsburgh International Airport is eligible to receive more federal money because passenger levels increased last year, even though air travel suffered greatly following the Sept. 11 terrorist attacks. The airport was one of only a few nationwide that had increased passenger traffic last year. As a result of the gain, the Allegheny County Airport Authority can tap more money from the federal Airport Improvement Program to help pay for big-ticket improvement projects, according to the Federal Aviation Administration. ""Pittsburgh would see an increase in its entitlement funds, beginning on Oct. 1, 2002,"" said Jim Peters, an FAA spokesman. ""They still have to apply, but there would be more funds made available to them."" The Airport Authority said it anticipates receiving nearly $22 million next year from the program, which Executive Director Kent George largely attributes to the agency's a",https://archive.triblive.com/news/airport-could-land-22m-in-federal-money/,https://web.archive.org/web/20260815192012/https://archive.triblive.com/news/airport-could-land-22m-in-federal-money/,7d49746ecc6c7529a109e449c21cf42100648d66fd3de5d45beb4f4d7423d774,C
trib-pittsburgh-international-airport-fares-climbing-for-3-years-,2012-08-01T00:01:15+00:00,capture,"Pittsburgh International Airport fares, climbing for 3 years, trail ...","JoAnn Jenny, spokeswoman","Cleveland's fares are above ours, so we're a much better value,","""Cleveland's fares are above ours, so we're a much better value,"" said JoAnn Jenny, spokeswoman for the Allegheny County Airport Authority. ""We have more local travelers today than we've ever had, which makes us a better airport than when we were a hub for US Airways.""",https://archive.triblive.com/business/local-stories/pittsburgh-international-airport-fares-climbing-for-3-years-trail-national-average/,,ce14f1433ebcfea64322d6f3389a0bd14e04e59514f91b12abb5ffdff566fe7e,C
trib-drilling-boom-feeds-need-for-flights-between-pittsburgh-and-,2013-02-13T00:00:00-05:00,capture,Drilling boom feeds need for flights between Pittsburgh and ...,"JoAnn Jenny, spokeswoman","That's a growing market (for airlines) in Pennsylvania,","""That's a growing market (for airlines) in Pennsylvania,"" Jenny said.",https://archive.triblive.com/news/drilling-boom-feeds-need-for-flights-between-pittsburgh-and-small-airports/,http://web.archive.org/web/20250610194918/https://archive.triblive.com/news/drilling-boom-feeds-need-for-flights-between-pittsburgh-and-small-airports/,,C
trib-ceo-big-changes-on-radar-for-pittsburgh-international-airpor,2016-08-11T01:22:25-04:00,capture,CEO: Big changes on radar for Pittsburgh International Airport,"Christina Cassotis, chief executive","This community has a great story to tell, and you wouldn't know it if you were at the airport at certain times of the day,","""This community has a great story to tell, and you wouldn't know it if you were at the airport at certain times of the day,"" Cassotis said Wednesday during a meeting with Tribune-Review reporters and editors.",https://archive.triblive.com/local/pittsburgh-allegheny/ceo-big-changes-on-radar-for-pittsburgh-international-airport/,http://web.archive.org/web/20250820212840/https://archive.triblive.com/local/pittsburgh-allegheny/ceo-big-changes-on-radar-for-pittsburgh-international-airport/,,C
trib-ceo-big-changes-on-radar-for-pittsburgh-international-airpor,2016-08-11T01:22:25-04:00,capture,CEO: Big changes on radar for Pittsburgh International Airport,"Christina Cassotis, chief executive","You need less space to heat, you need less space to cool, and we have to figure out what that right size looks like and how to modernize it in an environment where we don't raise costs, and we continue to lower them.","""You need fewer gates,"" Cassotis said. ""You need less space to heat, you need less space to cool, and we have to figure out what that right size looks like and how to modernize it in an environment where we don't raise costs, and we continue to lower them.""",https://archive.triblive.com/local/pittsburgh-allegheny/ceo-big-changes-on-radar-for-pittsburgh-international-airport/,http://web.archive.org/web/20250820212840/https://archive.triblive.com/local/pittsburgh-allegheny/ceo-big-changes-on-radar-for-pittsburgh-international-airport/,,C
trib-gov-wolf-to-evaluate-plan-to-close-budget-gap-expand-gamblin,2017-10-26T18:51:49+00:00,capture,"Gov. Wolf to evaluate plan to close budget gap, expand ...","Bob Kerlik, spokesman","This could also be another amenity for passengers,","""This could also be another amenity for passengers,"" Kerlik said. ""Any gaming at the airport would be done in a tasteful way. Anticipated revenue would depend on the number of tablets that would be installed and the percentage the airport receives.""",https://archive.triblive.com/politics/politicalheadlines/12879481-74/gov-wolf-to-evaluate-plan-to-close-budget-gap-expand-gambling-in,,,C
trib-pittsburgh-international-leveraged-incentives-and-plenty-of-,2017-12-24T01:18:49-05:00,capture,Pittsburgh International leveraged incentives and plenty of space ...,"Christina Cassotis, chief executive","More people are traveling to the airport ... as a result of all the new service that's coming into the airport,","""More people are traveling to the airport ... as a result of all the new service that's coming into the airport,"" Allegheny County Airport Authority CEO Christina Cassotis told authority board members at a meeting Dec. 15. "" We're up to 72 markets . We're two away from doubling where we were in 2014.""",https://archive.triblive.com/local/pittsburgh-allegheny/pittsburgh-international-leveraged-incentives-and-plenty-of-space-to-get-surge-in-nonstop-flights/,,9523df63ee27e075c67a5e88247624f08b90c52fe4cefb5cf7afe5270b5bb790,C
trib-spirit-airlines-pays-82-9k-in-overdue-fees-owed-to-pittsburg,2018-01-17T15:00:52+00:00,capture,Spirit Airlines pays $82.9K in overdue fees owed to Pittsburgh ...,"Bob Kerlik, spokesman","Spirit is a good partner,","""Spirit is a good partner,"" said Bob Kerlik, airport spokesman. ""The matter is being addressed.""",https://archive.triblive.com/local/pittsburgh-allegheny/spirit-airlines-pays-82-9k-in-overdue-fees-owed-to-pittsburgh-airport/,,ebd46711bbb21eda9719d70f679b0016116135b5809aa6e974c848f3af2ccb27,C
trib-designs-unveiled-for-1-1-billion-pittsburgh-airport-terminal,2019-02-20T12:01:32+00:00,capture,Designs unveiled for $1.1 billion Pittsburgh airport terminal,"Christina Cassotis, chief executive","All of this has been very much in coordination with the airlines, whose needs have to be considered, and we have to be planning for stuff we can't even imagine yet,","""All of this has been very much in coordination with the airlines, whose needs have to be considered, and we have to be planning for stuff we can't even imagine yet,"" Cassotis said, adding that the design will be flexible to allow for additional construction.",https://archive.triblive.com/local/designs-unveiled-for-1-1-billion-pittsburgh-airport-terminal/,,,C
trib-going-off-the-grid-pittsburgh-international-airport-plans-to,2019-10-18T16:39:15+00:00,capture,Pittsburgh International Airport plans to generate its own ...,"Christina Cassotis, chief executive","It meets our goals of resiliency, sustainability and cost-efficiency,","""It meets our goals of resiliency, sustainability and cost-efficiency,"" Cassotis said.",https://archive.triblive.com/local/going-off-the-grid-pittsburgh-international-airport-plans-to-generate-its-own-electric-power/,,2d9f9ed1db0bc139969a44086e6cd9e4783fb721e1f279d851b71ae74537e04d,C
